BIC Subject Code is exactly,AND any BIC Subj present with stem ,AND other BIC Subj present is exactly,AND any BIC Qual present with stem ,"AND
BIC Qual present  is exactly","AND
BIC Qual present is exactly ","AND
BIC Qual NOT present","AND
BIC Qual NOT present",>>,Only if input code not yet mapped ,Thema Subj 1,Thema Subj 2,Thema Subj 3,Thema Qual 1,Thema Qual 2,Thema Qual 3,Note,
AMD,,,,,,,,,,AMD,,,,,,,
AMG,,,,,,,,,,AMG,,,,,,,
AMGC,,,,,,,,,,AMG,,,,,,,
AMGD,,,,,,,,,,AMG,,,,,,,
AMK,,,,,,,,,,AMK,,,,,,,
AMKD,,,,,,,,,,AMK,,,,,,,
AMKH,,,,,,,,,,AMKS,,,,,,,
AMKL,,,,,,,,,,AMKL,,,,,,,
AMN,,,,,,,,,,AMN,,,,,,,
AMR,,,,,,,,,,AMR,,,,,,,
AMV,,,,,,,,,,AMV,,,,,,,
AMVD,,,,,,,,,,AMVD,,,,,,,
AMX,,,,,,,,,,AMX,,,,,,,
AN,,,,,,,,,,ATD,,,,,,,
ANB,,,,,,,,,,ATC,ATD,,,,,,
ANC,,,,,,,,,,ATDC,,,,,,,
ANF,,,,,,,,,,ATDF,,,,,,,
ANH,,,,,,,,,,ATDH,,,,,,,
ANS,,,,,,,,,,ATDS,,,,,,,
AP,,,,,,,,,,ATF,ATJ,,,,,,
APB,,,,,,,,,,ATC,,,,,,,
APF,,,,,,,,,,ATF,,,,,,,
APFA,,,,,,,,,,ATFA,,,,,,,
APFB,,,,,,,,,,ATFB,,,,,,,
APFD,,,,,,,,,,ATFD,,,,,,,
APFG,,,,,,,,,,ATFG,,,,,,,
APFN,,,,,,,,,,ATFN,,,,,,,
APFR,,,,,,,,,,ATFR,,,,,,,
APFV,,,,,,,,,,ATFV,,,,,,,
APFX,,,,,,,,,,ATFX,,,,,,,
APT,,,,,,,,,,ATJ,,,,,,,
APTD,,,,,,,,,,ATJD,,,,,,,
APTS,,,,,,,,,,ATJS,,,,,,,
APTX,,,,,,,,,,ATJX,,,,,,,
APW,,,,,,,,,,ATL,,,,,,,
APWD,,,,,,,,,,ATLD,,,,,,,
AS,,,,,,,,,,ATQ,ATX,,,,,,
ASD,,,,,,,,,,ATQ,,,,,,,
ASDC,,,,,,,,,,ATQC,,,,,,,
ASDL,,,,,,,,,,ATQL,,,,,,,
ASDR,,,,,,,,,,ATQR,,,,,,,
ASDT,,,,,,,,,,ATQT,,,,,,,
ASDX,,,,,,,,,,ATQZ,,,,,,,
ASZ,,,,,,,,,,ATX,,,,,,,
ASZB,,,,,,,,,,ATXD,,,,,,,
ASZC,,,,,,,,,,ATX,,,,,,,
ASZD,,,,,,,,,,ATX,,,,,,,
ASZG,,,,,,,,,,ATXF,,,,,,,
ASZH,,,,,,,,,,ATX,,,,,,,
ASZJ,,,,,,,,,,ATX,,,,,,,
ASZM,,,,,,,,,,ATXM,,,,,,,
ASZP,,,,,,,,,,ATXP,,,,,,,
ASZW,,,,,,,,,,ATXC,,,,,,,
ASZX,,,,,,,,,,ATXZ,,,,,,,
AV,,,,,,,,,,AV,,,,,,,
AVA,,,,,,,,,,AVA,,,,,,,
AVC,,,,,,,,,,AVC,,,,,,,
AVD,,,,,,,,,,AVD,,,,,,,
AVG,,,,,,,,,,AVL,,,,,,,
AVGC,,,,,,,,,,AVLA,,,,,,,
AVGC1,,,,,,,,,,AVLA,,,,,,,
AVGC2,,,,,,,,,,AVLA,,,6MB,6RC,,,
AVGC3,,,,,,,,,,AVLA,,,6BA,,,,
AVGC4,,,,,,,,,,AVLA,,,6CA,,,,
AVGC5,,,,,,,,,,AVLA,,,6RA,,,,
AVGC6,,,,,,,,,,AVLA,,,3MP,,,,
AVGC8,,,,,,,,,,AVLC,,,,,,,
AVGC9,,,,,,,,,,AVLF,,,,,,,
AVGD,,,,,,,,,,AVLK,,,,,,,
AVGE,,,,,,,,,,AVLA,,,,,,,
AVGF,,,,,,,,,,AVLP,,,,,,,
AVGG,,,,,,,,,,AVLP,,,,,,,
AVGH,,,,,,,,,,AVLT,,,6FD,,,,
AVGJ,,,,,,,,,,AVLP,,,6JD,,,,
AVGK,,,,,,,,,,AVLP,,,6BM,,,,
AVGL,,,,,,,,,,AVLP,,,6CM,,,,
AVGM,,,,,,,,,,AVLM,,,,,,,
AVGN,,,,,,,,,,AVLP,,,6EB,,,,
AVGP,,,,,,,,,,AVLP,,,6PB,6RF,,,
AVGQ,,,,,,,,,,AVLP,,,6SB,,,,
AVGR,,,,,,,,,,AVLP,,,6RJ,,,,
AVGS,,,,,,,,,,AVLP,,,6RK,,,,
AVGT,,,,,,,,,,AVLP,,,6HA,,,,
AVGU,,,,,,,,,,AVLP,,,6PN,,,,
AVGV,,,,,,,,,,AVLX,,,,,,,
AVGW,,,,,,,,,,AVLW,,,,,,,
AVGZ,,,,,,,,,,AVLP,,,6NK,,,,
AVH,,AVGC1,,,,,,,,AVN,AVLA,,,,,,
AVH,,AVGC2,,,,,,,,AVN,AVLA,,6MB,6RC,,,
